d:\work\work\lib\site-packages\torch\nn\modules\loss.py:536: UserWarning: Using a target size (torch.Size([8, 4, 3])) that is different to the input size (torch.Size([8, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
C:\Users\jagpr\AppData\Local\Temp\ipykernel_18652\980383283.py:20: UserWarning: Using a target size (torch.Size([5000, 1, 3])) that is different to the input size (torch.Size([4996, 4, 3])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  loss = F.mse_loss(pred, data)
Epoch [1/10], Loss: 39.4862
Epoch [1/10], Loss: 39.4236
Epoch [1/10], Loss: 39.3544
Epoch [1/10], Loss: 39.2858
Epoch [1/10], Loss: 39.2192
Epoch [1/10], Loss: 39.1588
Epoch [1/10], Loss: 39.1010
Epoch [1/10], Loss: 39.0457
Epoch [1/10], Loss: 38.9936
Epoch [1/10], Loss: 38.9452
Epoch [1/10], Loss: 38.8972
Epoch [1/10], Loss: 38.8456
Epoch [1/10], Loss: 38.7978
Epoch [1/10], Loss: 38.7532
Epoch [1/10], Loss: 38.7088
Epoch [1/10], Loss: 38.6658
Epoch [1/10], Loss: 38.6256
Epoch [1/10], Loss: 38.5845
Epoch [1/10], Loss: 38.5463
Epoch [1/10], Loss: 38.5066
Epoch [1/10], Loss: 38.4669
Epoch [1/10], Loss: 38.4298
Epoch [1/10], Loss: 38.3961
Epoch [1/10], Loss: 38.3588
Epoch [1/10], Loss: 38.3242
Epoch [1/10], Loss: 38.2899
Epoch [1/10], Loss: 38.2549
Epoch [1/10], Loss: 38.2184
Epoch [1/10], Loss: 38.1808
Epoch [1/10], Loss: 38.1365
Epoch [1/10], Loss: 38.0955
Epoch [1/10], Loss: 38.0542
Epoch [1/10], Loss: 38.0137
Epoch [1/10], Loss: 37.9728
Epoch [1/10], Loss: 37.9340
Epoch [1/10], Loss: 37.8964
Epoch [1/10], Loss: 37.8600
Epoch [1/10], Loss: 37.8246
Epoch [1/10], Loss: 37.7892
Epoch [1/10], Loss: 37.7512
Epoch [1/10], Loss: 37.7157
Epoch [1/10], Loss: 37.6825
Epoch [1/10], Loss: 37.6492
Epoch [1/10], Loss: 37.6158
Epoch [1/10], Loss: 37.5820
Epoch [1/10], Loss: 37.5496
Epoch [1/10], Loss: 37.5186
Epoch [1/10], Loss: 37.4836
Epoch [1/10], Loss: 37.4507
Epoch [1/10], Loss: 37.4188
Epoch [1/10], Loss: 37.3887
Epoch [1/10], Loss: 37.3565
Epoch [1/10], Loss: 37.3276
Epoch [1/10], Loss: 37.3007
Epoch [1/10], Loss: 37.2712
Epoch [1/10], Loss: 37.2413
Epoch [1/10], Loss: 37.2135
Epoch [1/10], Loss: 37.1849
Epoch [1/10], Loss: 37.1574
Epoch [1/10], Loss: 37.1244
Epoch [1/10], Loss: 37.0937
Epoch [1/10], Loss: 37.0628
Epoch [1/10], Loss: 37.0333
Epoch [1/10], Loss: 37.0024
Epoch [1/10], Loss: 36.9729
Epoch [1/10], Loss: 36.9430
Epoch [1/10], Loss: 36.9127
Epoch [1/10], Loss: 36.8831
Epoch [1/10], Loss: 36.8543
Epoch [1/10], Loss: 36.8268
Epoch [1/10], Loss: 36.7977
Epoch [1/10], Loss: 36.7690
Epoch [1/10], Loss: 36.7409
Epoch [1/10], Loss: 36.7119
Epoch [1/10], Loss: 36.6846
Epoch [1/10], Loss: 36.6591
Epoch [1/10], Loss: 36.6359
